Locus,GeneName
YOL036W,YOL036W
YOL109W,ZEO1
YNL057W,YNL057W
YML078W,CPR3
YGR294W,YGR294W
YDR133C,YDR133C
YGL190C,CDC55
YPR047W,MSF1
YBR248C,HIS7
YOL037C,YOL037C
YNL058C,YNL058C
YGR295C,COS6
YER112W,LSM4
YDR060W,YDR060W
YCR081W,SRB8
YDR206W,EBS1
YGL263W,COS12
YCL050C,APA1
YBR175W,YBR175W
YBL071C,YBL071C
YER113C,YER113C
YML079W,YML079W
YOR352W,YOR352W
YDR207C,UME6
YPR048W,TAH18
YJR160C,YJR160C
YBR249C,ARO4
YOR069W,VPS5
YPL017C,YPL017C
YDL102W,CDC2
YNL059C,ARP5
YOR280C,YOR280C
YOR353C,YOR353C
YJL201W,ECM25
YPR049C,YPR049C
YER040W,GLN3
YDR061W,YDR061W
YGL191W,COX13
YCR082W,YCR082W
YDL103C,QRI1
YBR176W,ECM31
YBL072C,RPS8A
YOL038W,PRE6
YJL202C,YJL202C
YIL150C,DNA43
YER114C,BOI2
YGR296W,YRF1-3
YDR135C,YCF1
YNL270C,ALP1
YBR177C,EHT1
YJR161C,COS5
YDL030W,PRP9
YCL051W,LRE1
YOR281C,YOR281C
YOR354C,YOR354C
YFR020W,YFR020W
YER041W,YER041W
YDR062W,LCB2
YGL192W,IME4
YDR208W,MSS4
YCR083W,TRX3
YDL104C,QRI7
YCL052C,PBN1
YPL018W,CTF19
YJL130C,URA2
YOL039W,RPP2A
YIL151C,YIL151C
YER115C,SPR6
YDR136C,YDR136C
YGL193C,YGL193C
YCR084C,TUP1
YDR209C,YDR209C
YLR120C,YPS1
YNL271C,BNI1
YJR162C,YJR162C
YEL010W,YEL010W
YPL019C,YPL019C
YDL031W,DBP10
YBL073W,YBL073W
YJL203W,PRP21
YFR021W,YFR021W
YER042W,MXR1
YDR063W,YDR063W
YBR178W,YBR178W
YKL110C,KTI12
YBL074C,AAR2
YGR001C,YGR001C
YJL131C,YJL131C
YJL204C,YJL204C
YER043C,SAH1
YER116C,YER116C
YOR282W,YOR282W
YGL194C,HOS2
YOR355W,GDS1
YLR121C,YPS3
YBR179C,FZO1
YNL272C,SEC2
YJR090C,GRR1
YEL011W,GLC3
YDL032W,YDL032W
YDL105W,QRI2
YDR420W,HKR1
YFR022W,YFR022W
YIL152W,YIL152W
YMR100W,MUB1
YDR064W,RPS13
YDR137W,RGP1
YPL230W,USV1
YDL033C,YDL033C
YCR085W,YCR085W
YDL106C,GRF10
YKL111C,YKL111C
YBL075C,SSA3
YGR002C,YGR002C
YER044C,YER044C
YMR101C,YMR101C
YOR283W,YOR283W
YOR356W,YOR356W
YLR122C,YLR122C
YJR091C,JSN1
YEL012W,UBC8
YCL054W,SPB1
YPR190C,RPC82
YOR357C,GRD19
YJL132W,YJL132W
YDR421W,YDR421W
YFR023W,PES4
YIL153W,RRD1
YER117W,RPL23B
YDR065W,YDR065W
YPL231W,FAS2
YDR138W,HPR1
YCR086W,YCR086W
YKR070W,YKR070W
YNL273W,TOF1
YBL076C,ILS1
YDR422C,SIP1
YJL206C,YJL206C
YFR024C,YFR024C
YIL154C,YIL154C
YER045C,YER045C
YER118C,SHO1
YDR066C,YDR066C
YMR102C,YMR102C
YLR050C,YLR050C
YOR284W,YOR284W
YDR139C,RUB1
YLR123C,YLR123C
YKR071C,YKR071C
YNL274C,YNL274C
YEL013W,VAC8
YDL034W,YDL034W
YDL107W,MSS2
YCL055W,KAR4
YKL112W,ABF1
YHR001W-A,QCR10
YGR003W,YGR003W
YJL060W,YJL060W
YJL133W,MRS3
YEL014C,YEL014C
YPL232W,SSO1
YGL196W,YGL196W
YCR087W,YCR087W
YDL035C,GPR1
YCL056C,YCL056C
YKL040C,NFU1
YJR092W,BUD4
YKL113C,RAD27
YDR350C,TCM10
YDR423C,CAD1
YJL207C,YJL207C
YFR025C,HIS2
YIL155C,GUT2
YPR191W,QCR2
YER119C,YER119C
YDR067C,YDR067C
YMR103C,YMR103C
YLR051C,YLR051C
YOR285W,YOR285W
YOR358W,HAP5
YKR072C,SIS2
YJR093C,FIP1
YDL108W,KIN28
YBL077W,YBL077W
YJL061W,NUP82
YGR004W,YGR004W
YJL134W,LCB3
YER046W,YER046W
YMR030W,YMR030W
YPL160W,CDC60
YPL233W,YPL233W
YGL197W,MDS3
YDL036C,YDL036C
YLR124W,YLR124W
YCR088W,ABP1
YLL020C,YLL020C
YDL109C,YDL109C
YNL275W,YNL275W
YBL078C,AUT7
YKL114C,APN1
YGR005C,TFG2
YJL208C,NUC1
YDR424C,DYN2
YIL083C,YIL083C
YFR026C,YFR026C
YER047C,SAP1
YPR192W,AQY1
YMR031C,YMR031C
YPL161C,BEM4
YMR104C,YPK2
YOR286W,YOR286W
YPL234C,VMA11
YOR359W,YOR359W
YKR073C,YKR073C
YJR094C,IME1
YNL276C,YNL276C
YEL015W,YEL015W
YPR193C,HPA2
YCL057W,PRD1
YKL041W,VPS24
YOR287C,YOR287C
YJL062W,LAS21
YJL135W,YJL135W
YDR351W,SBE2
YIL156W,UBP7
YNR010W,CSE2
YDR068W,DOS2
YEL016C,YEL016C
YGL198W,YGL198W
YLR052W,YLR052W
YCR089W,FIG2
YLR125W,YLR125W
YCL058C,YCL058C
YKL115C,YKL115C
YJL063C,MRPL8
YJL136C,RPS21B
YIL084C,SDS3
YNR011C,PRP2
YIL157C,YIL157C
YER048C,CAJ1
YPL162C,YPL162C
YDR069C,DOA4
YMR105C,PGM2
YLR053C,YLR053C
YGL199C,YGL199C
YLR126C,YLR126C
YLL021W,SPA2
YPR194C,YPR194C
YKL042W,SPC42
YBL079W,NUP170
YOR288C,MPD1
YGR006W,PRP18
YDR352W,YDR352W
YDR425W,YDR425W
YFR027W,YFR027W
YJL209W,CBP1
YMR032W,HOF1
YPL235W,TIP49B
YLL022C,HIF1
YKR074W,YKR074W
YCL059C,KRR1
YJR095W,SFC1
YNL277W,MET2
YKL116C,YKL116C
YJL137C,GLG2
YFR028C,CDC14
YIL085C,KTR7
YPL090C,RPS6A
YMR106C,YKU80
YPL163C,SVS1
YPL236C,YPL236C
YLR054C,YLR054C
YLR127C,APC2
YKR075C,YKR075C
YEL017W,YEL017W
YML001W,YPT7
YPR195C,YPR195C
YKL043W,PHD1
YDR280W,RRP45
YJL064W,YJL064W
YGR007W,MUQ1
YDR353W,TRR1
YIL158W,YIL158W
YLR410W,VIP1
YNR012W,URK1
YER049W,YER049W
YMR033W,ARP9
YDL039C,YDL039C
YLL023C,YLL023C
YNL278W,YNL278W
YJR096W,YJR096W
YDR281C,YDR281C
YJL065C,YJL065C
YGR008C,STF2
YJL138C,TIF2
YIL086C,YIL086C
YNR013C,YNR013C
YMR034C,YMR034C
YPL164C,YPL164C
YLR055C,SPT8
YOR289W,YOR289W
YEL018W,YEL018W
YKL044W,YKL044W
YKL117W,SBA1
YDR354W,TRP4
YFR029W,PTR3
YDR427W,RPN9
YIL159W,BNR1
YLR411W,CTR3
YPL091W,GLR1
YMR107W,YMR107W
YEL019C,MMS21
YPL237W,SUI3
YLR128W,YLR128W
YKR076W,ECM4
YLL024C,SSA2
YER007C-A,YER007C-A
YNL279W,YNL279W
YJR097W,YJR097W
YBR084C-A,RPL19A
YGR009C,SEC9
YDR282C,YDR282C
YJL066C,YJL066C
YDR355C,YDR355C
YJL139C,YUR1
YDR428C,YDR428C
YIL087C,YIL087C
YPR196W,YPR196W
YPL165C,YPL165C
YPL238C,YPL238C
YJR098C,YJR098C
YKL045W,PRI2
YKL118W,YKL118W
YLR412W,YLR412W
YNR014W,YNR014W
YMR035W,IMP2
YPL092W,SSU1
YMR108W,ILV2
YGR220C,MRPL9
YLR056W,ERG3
YML004C,GLO1
YLR129W,DIP2
YKR077W,YKR077W
YKL046C,YKL046C
YKL119C,VPH2
YDR283C,GCN2
YDR429C,TIF35
YIL088C,YIL088C
YMR036C,MIH1
YBR100W,YBR100W
YLL025W,YLL025W
YBR101C,YBR101C
YJL067W,YJL067W
YDR356W,NUF1
YLR340W,RPP0
YNR015W,SMM1
YLR413W,YLR413W
YPL093W,YPL093W
YMR109W,MYO5
YPL166W,YPL166W
YPL239W,YAR1
YGR221C,YGR221C
YLR057W,YLR057W
YKR078W,YKR078W
YJR099W,YUH1
YJL068C,YJL068C
YDR284C,DPP1
YDR357C,YDR357C
YNR016C,ACC1
YLR414C,YLR414C
YPR198W,SGE1
YMR037C,MSN2
YPL094C,SEC62
YPL167C,REV3
YLR058C,SHM2
YKR079C,YKR079C
YHR200W,RPN10
YML005W,YML005W
YLL026W,HSP104
YPR199C,ARR1
YKL047W,YKL047W
YBR102C,YBR102C
YMR320W,YMR320W
YIL089W,YIL089W
YLR341W,YLR341W
YHR201C,PPX1
YML006C,GIS4
YKL048C,ELM1
YJL069C,YJL069C
YMR321C,YMR321C
YLR415C,YLR415C
YMR038C,LYS7
YPL095C,YPL095C
YLR059C,YNT20
YAR050W,FLO1
YDL180W,YDL180W
YGR222W,PET54
YLL027W,ISA1
YDR285W,ZIP1
YDR358W,YDR358W
YLR342W,FKS1
YNR017W,TIM23
YGR150C,YGR150C
YPL168W,YPL168W
YGR223C,YGR223C
YKL049C,CSE4
YDR286C,YDR286C
YMR322C,YMR322C
YDR359C,YDR359C
YLR416C,YLR416C
YMR039C,TSP1
YBR030W,YBR030W
YBR103W,YBR103W
YPL169C,MEX67
YDL181W,INH1
YAL020C,ATS1
YHR202W,YHR202W
YML007W,YAP1
YCR010C,YCR010C
YLL028W,TPO1
YLR270W,YLR270W
YLR343W,YLR343W
YNR018W,YNR018W
YHR130C,YHR130C
YPL096W,YPL096W
YHR203C,RPS4B
YGR151C,YGR151C
YML008C,ERG6
YBR031W,RPL4A
YBR104W,YMC2
YDL182W,LYS20
YAL021C,CCR4
YGR224W,YGR224W
YGL120C,PRP43
YLL029W,YLL029W
YCR011C,ADP1
YBR105C,VID24
YMR250W,YMR250W
YDR287W,YDR287W
YMR323W,YMR323W
YDL183C,YDL183C
YLR271W,YLR271W
YLR344W,RPL26A
YNR019W,ARE2
YLR417W,VPS36
YHR131C,YHR131C
YPL097W,MSY1
YGR152C,RSR1
YML009C,MRPL39
YMR324C,YMR324C
YLR272C,LOC7
YLR418C,CDC73
YPL098C,YPL098C
YBR032W,YBR032W
YBL001C,ECM15
YAR053W,YAR053W
YAL022C,YAL022C
YHR204W,YHR204W
YGR225W,SPO70
YGL121C,YGL121C
YMR251W,YMR251W
YDR288W,YDR288W
YDL184C,RPL41A
YLR345W,YLR345W
YHR132C,ECM14
YGR226C,YGR226C
YMR252C,YMR252C
YDR289C,RTT103
YLR273C,PIG1
YLR346C,YLR346C
YCR012W,PGK1
YBR033W,YBR033W
YPL099C,YPL099C
YBR106W,PHO88
YAL023C,PMT2
YHR205W,SCH9
YGR080W,TWF1
YGR153W,YGR153W
YGL122C,NAB2
YOR210W,RPB10
YCR013C,YCR013C
YBR034C,HMT1
YNL200C,YNL200C
YBR107C,MCM19
YLR419W,YLR419W
YHR133C,YHR133C
YGR081C,YGR081C
YGR154C,YGR154C
YBL002W,HTB2
YOR211C,MGM1
YMR180C,CTL1
YMR253C,YMR253C
YMR326C,YMR326C
YLR347C,KAP95
YBL003C,HTA2
YDL185W,VMA1
YAL024C,LTE1
YHR060W,VMA22
YKL190W,CNB1
YHR206W,SKN7
YGR227W,DIE2
YCR014C,POL4
YBR035C,PDX3
YNL201C,YNL201C
YLR274W,CDC46
YIR040C,YIR040C
YHR061C,GIC1
YHR207C,YHR207C
YMR181C,YMR181C
YMR254C,YMR254C
YGL050W,YGL050W
YLR348C,DIC1
YGL123W,RPS2
YBR108W,YBR108W
YDL186W,YDL186W
YAL025C,MAK16
YKL191W,DPH2
YHR134W,YHR134W
YGR082W,TOM20
YGR155W,CYS4
YGR228W,YGR228W
YGL124C,YGL124C
YOR212W,STE4
YCR015C,YCR015C
YBR036C,CSG2
YBR109C,CMD1
YDL187C,YDL187C
YLR275W,SMD2
YHR062C,RPP1
YHR135C,YCK1
YKL192C,ACP1
YGR083C,GCD2
YGR229C,SMI1
YBL004W,YBL004W
YOR213C,SAS5
YMR182C,RGM1
YHL030W,ECM29
YLR276C,DBP9
YGL051W,YGL051W
YNL202W,SPS19
YJR020W,YJR020W
YIR041W,YIR041W
YHL031C,GOS1
YHR208W,BAT1
YGR156W,YGR156W
YOR140W,SFL1
YFL034C-B,MOB2
YBR037C,SCO1
YNL130C,CPT1
YNL203C,YNL203C
YMR255W,GFD1
YJR021C,REC107
YIR042C,YIR042C
YDL188C,PPH22
YLR349W,YLR349W
YHR063C,YHR063C
YHR136C,SPL2
YKL193C,SDS22
YPR120C,CLB5
YGR084C,MRP13
YBL005W,PDR3
YOR141C,ARP8
YOR214C,YOR214C
YIL010W,DOT5
YMR183C,SSO2
YMR256C,COX7
YLR277C,YSH1
YGL052W,YGL052W
YGL125W,MET13
YCR016W,YCR016W
YBL006C,YBL006C
YCR020C-A,MAK31
YHL032C,GUT1
YHR209W,YHR209W
YGR157W,CHO2
YKR001C,VPS1
YNL204C,SPS18
YHR064C,PDR13
YKL194C,MST1
YGR085C,RPL11B
YGR158C,MTR3
YOR215C,YOR215C
YAL027W,YAL027W
YIL011W,YIL011W
YMR257C,PET111
YLR278C,YLR278C
YGL053W,YGL053W
YGL126W,SCS3
YOL110W,SHR5
YNL131W,TOM22
YBR038W,CHS2
YJR022W,LSM8
YBL007C,SLA1
YDL189W,YDL189W
YHR137W,ARO9
YHL033C,RPL8A
YPR121W,THI22
YOR142W,LSC1
YGL054C,ERV14
YGL127C,SOH1
YOL111C,YOL111C
YMR184W,YMR184W
YJR023C,YJR023C
YNL205C,YNL205C
YIR044C,YIR044C
YHR065C,RRP3
YHR138C,YHR138C
YGR086C,YGR086C
YOR070C,GYP1
YGR159C,NSR1
YOR143C,THI80
YOR216C,RUD3
YAL028W,YAL028W
YIL012W,YIL012W
YMR258C,YMR258C
YKR002W,PAP1
YBR039W,ATP3
YNL132W,YNL132W
YML080W,YML080W
YAL029C,MYO4
YIL013C,PDR11
YKL195W,YKL195W
YHL034C,SBP1
YPR122W,AXL1
YGL128C,YGL128C
YNL133C,YNL133C
YMR185W,YMR185W
YNL206C,YNL206C
YJR024C,YJR024C
YLR279W,YLR279W
YKL196C,YKT6
YHR139C,SPS100
YPR123C,YPR123C
YGR087C,PDC6
YOR071C,YOR071C
YOR144C,EFD1
YBL008W,HIR1
YBR250W,YBR250W
YGL055W,OLE1
YOL112W,MSB4
YCR019W,MAK32
YKR003W,YKR003W
YML081W,YML081W
YHR066W,SSF1
YHL035C,YHL035C
YGL056C,SDS23
YGL129C,YGL129C
YOR217W,RFC1
YKR004C,ECM9
YMR186W,HSC82
YNL134C,YNL134C
YJR025C,BNA1
YKL197C,PEX1
YOR145C,YOR145C
YBL009W,YBL009W
YOR218C,YOR218C
YIL014W,YIL014W
YMR187C,YMR187C
YBR251W,MRPS5
YOL113W,SKM1
YNL061W,NOP2
YNL207W,YNL207W
YML082W,YML082W
YHR067W,YHR067W
YPR051W,MAK3
YPR124W,CTR1
YGR088W,CTT1
YPL020C,ULP1
YOR072W,YOR072W
YGL057C,YGL057C
YOL114C,YOL114C
YNL062C,GCD10
YKR005C,YKR005C
YNL135C,FPR1
YML083C,YML083C
YKL198C,PTK1
YOR219C,STE13
YDR210W,YDR210W
YIL015W,BAR1
YMR188C,YMR188C
YBR252W,DUT1
YHL036W,MUP3
YNL208W,YNL208W
YHR068W,DYS1
YPR125W,YPR125W
YGR089W,YGR089W
YHL037C,YHL037C
YOR073W,YOR073W
YOR146W,YOR146W
YKR006C,MRPL13
YHR069C,RRP4
YKL199C,YKT9
YPR126C,YPR126C
YOR074C,CDC21
YDR211W,GCD6
YIL016W,SNL1
YBR180W,YBR180W
YBR253W,SRB6
YPL021W,SRD2
YGL058W,RAD6
YOL042W,YOL042W
YOL115W,TRF4
YNL063W,YNL063W
YNL136W,YNL136W
YML084W,YML084W
YNL209W,SSB2
YBR181C,RPS6B
YBR254C,TRS20
YHL038C,CBP2
YOR147W,YOR147W
YOL043C,NTG2
YNL064C,YDJ1
YNL137C,NAM9
YMR189W,GCV2
YML085C,TUB1
YOR148C,SPP2
YDR212W,TCP1
YPL022W,RAD1
YGL059W,YGL059W
YOL116W,MSN1
YKR007W,YKR007W
YPR054W,SMK1
YBR182C,SMP1
YPR127W,YPR127W
YOR075W,UFE1
YPL023C,MET12
YML086C,ALO1
YPR128C,YPR128C
YOR076C,SKI7
YDR140W,YDR140W
YOR149C,SMP3
YDR213W,YDR213W
YIL018W,RPL2B
YBR255W,YBR255W
YHL039W,YHL039W
YOL044W,PEX15
YOL117W,YOL117W
YKR008W,RSC4
YNL065W,YNL065W
YNL138W,SRV2
YDR141C,DOP1
YPR055W,SEC8
YBR256C,RIB5
YOL118C,YOL118C
YKR009C,FOX2
YNL139C,RLR1
YML087C,YML087C
YOR360C,PDE2
YER120W,SCS2
YDR214W,YDR214W
YDL110C,YDL110C
YIL019W,YIL019W
YBR183W,YBR183W
YPL024W,NCE4
YOL045W,YOL045W
YNL066W,SUN4
YDR142C,PEX7
YCR090C,YCR090C
YDR215C,YDR215C
YPR056W,TFB4
YPR129W,SCD6
YOR077W,RTS2
YPL025C,YPL025C
YOL046C,YOL046C
YOL119C,YOL119C
YOR361C,PRT1
YER121W,YER121W
YDL111C,RRP42
YBR184W,YBR184W
YBR257W,POP4
YBL080C,PET112
YNL067W,RPL9B
YER122C,GLO3
YML088W,YML088W
YDR070C,YDR070C
YDR143C,SAN1
YPR057W,BRR1
YBR185C,MBA1
YBR258C,YBR258C
YOR078W,YOR078W
YPL026C,SHA3
YOL047C,YOL047C
YNL068C,FKH2
YML089C,YML089C
YOR362C,PRE10
YJL210W,PEX2
YOR079C,ATX2
YDR216W,ADR1
YCR091W,KIN82
YLR200W,YKE2
YJL211C,YJL211C
YDR500C,RPL37B
YER050C,YER050C
YDR071C,YDR071C
YDR144C,MKC7
YDR217C,RAD9
YCR092C,MSH3
YLR201C,YLR201C
YPR058W,YMC1
YOL048C,YOL048C
YDL112W,TRM3
YNL069C,RPL16B
YBL081W,YBL081W
YOR290C,SNF2
YOR363C,PIP2
YER123W,YCK3
YDL040C,NAT1
YDL113C,YDL113C
YCL061C,YCL061C
YBR186W,PCH2
YBR259W,YBR259W
YBL082C,RHK1
YPL027W,YPL027W
YJL212C,YJL212C
YIL160C,POT1
YER124C,YER124C
YDR072C,IPT1
YDR218C,SPR28
YLR202C,YLR202C
YER087C-A,SBH1
YFR030W,MET10
YDR501W,PLM2
YER051W,YER051W
YEL020C,YEL020C
YDR145W,TAF61
YCR093W,CDC39
YBR187W,YBR187W
YBL083C,YBL083C
YPL028W,ERG10
YFR031C,SMC2
YOL049W,GSH2
YDR502C,SAM2
YER052C,HOM3
YOR291W,YOR291W
YDR146C,SWI5
YDR219C,YDR219C
YOR364W,YOR364W
YLR130C,ZRT2
YLR203C,MSS51
YBR188C,NTC20
YDL041W,YDL041W
YDL114W,YDL114W
YGR010W,YGR010W
YOR292C,YOR292C
YJL140W,RPB4
YOR365C,YOR365C
YJL213W,YJL213W
YIL161W,YIL161W
YER125W,RSP5
YDR073W,SNF11
YDL042C,SIR2
YCR094W,CDC50
YDL115C,YDL115C
YNL281W,HCH1
YPL029W,SUV3
YJL141C,YAK1
YDR430C,YDR430C
YFR032C,YFR032C
YDR503C,LPP1
YER053C,YER053C
YER126C,YER126C
YMR110C,YMR110C
YPL240C,HSP82
YCR095C,YCR095C
YLR131C,ACE2
YEL021W,URA3
YCL063W,YCL063W
YKL120W,OAC1
YGR011W,YGR011W
YJL214W,HXT8
YIL162W,SUC2
YDR074W,TPS2
YDR147W,EKI1
YDL043C,PRP11
YLR204W,QRI5
YCL064C,CHA1
YNL282W,POP3
YBR189W,RPS9B
YJL142C,YJL142C
YJL215C,YJL215C
YFR033C,QCR6
YDR504C,YDR504C
YIL163C,YIL163C
YER054C,GIP2
YMR111C,YMR111C
YDR148C,KGD2
YPL241C,CIN2
YOR293W,RPS10A
YOR366W,YOR366W
YLR132C,YLR132C
YCR096C,A2
YLR205C,YLR205C
YFL001W,DEG1
YNL283C,WSC2
YEL022W,GEA2
YDL116W,NUP84
YBL085W,BOI1
YKL121W,YKL121W
YGR012W,YGR012W
YIL090W,YIL090W
YDR431W,YDR431W
YFL002C,SPB4
YER127W,LCP5
YDR075W,PPH3
YEL023C,YEL023C
YDL044C,MTF2
YKR080W,MTD1
YKL122C,SRP21
YBL086C,YBL086C
YFR034C,PHO4
YJL216C,YJL216C
YIL091C,YIL091C
YDR505C,PSP1
YIL164C,NIT1
YER055C,HIS1
YMR112C,MED11
YOR294W,RRS1
YPL242C,IQG1
YOR367W,SCP1
YKR081C,YKR081C
YNL284C,MRPL10
YDL117W,YDL117W
YCL065W,YCL065W
YGR013W,SNU71
YJL143W,TIM17
YDR432W,NPL3
YFL003C,MSH4
YER128W,YER128W
YDR076W,RAD55
YLR060W,FRS1
YDL045C,FAD1
YLR133W,CKI1
YLR206W,ENT2
YKL050C,YKL050C
YBL087C,RPL23A
YFR035C,YFR035C
YDR506C,YDR506C
YIL165C,YIL165C
YER056C,FCY2
YOR295W,YOR295W
YOR368W,RAD17
YCR098C,GIT1
YEL024W,RIP1
YDL118W,YDL118W
YCL066W,ALPHA1
YKL123W,YKL123W
YGR014W,MSB2
YJL071W,ARG2
YDR360W,YDR360W
YOR369C,RPS12
